name,sku,basePrice,compareAtPrice,stockOnHand,categoryName,brandName,shortDescription,description,imageUrl
Silk Tote Navy,GRS-0144,27,37,48,Bags & leather goods,Aysel Tekstil,Silk tote in navy,Handcrafted silk tote finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/silk-tote-navy-144-1/600/600|https://picsum.photos/seed/silk-tote-navy-144-2/600/600|https://picsum.photos/seed/silk-tote-navy-144-3/600/600
Suede Shirt Burgundy,GRS-0145,40,,65,Apparel & clothing,Bursa Atelier,Suede shirt in burgundy,Handcrafted suede shirt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/suede-shirt-burgundy-145-1/600/600|https://picsum.photos/seed/suede-shirt-burgundy-145-2/600/600|https://picsum.photos/seed/suede-shirt-burgundy-145-3/600/600|https://picsum.photos/seed/suede-shirt-burgundy-145-4/600/600
Velvet Cushion Cover Navy,GRS-0146,53,,82,Textiles & home,Anatolia Co.,Velvet cushion cover in navy,Handcrafted velvet cushion cover finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/velvet-cushion-cover-navy-146-1/600/600|https://picsum.photos/seed/velvet-cushion-cover-navy-146-2/600/600|https://picsum.photos/seed/velvet-cushion-cover-navy-146-3/600/600
Linen Earrings Burgundy,GRS-0147,66,91,99,Accessories,House label,Linen earrings in burgundy,Handcrafted linen earrings finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/linen-earrings-burgundy-147-1/600/600|https://picsum.photos/seed/linen-earrings-burgundy-147-2/600/600|https://picsum.photos/seed/linen-earrings-burgundy-147-3/600/600|https://picsum.photos/seed/linen-earrings-burgundy-147-4/600/600
Leather Slippers Navy,GRS-0148,79,,116,Footwear,Aysel Tekstil,Leather slippers in navy,Handcrafted leather slippers finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/leather-slippers-navy-148-1/600/600|https://picsum.photos/seed/leather-slippers-navy-148-2/600/600|https://picsum.photos/seed/leather-slippers-navy-148-3/600/600
Cashmere Duffel Burgundy,GRS-0149,92,,13,Bags & leather goods,Bursa Atelier,Cashmere duffel in burgundy,Handcrafted cashmere duffel finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cashmere-duffel-burgundy-149-1/600/600|https://picsum.photos/seed/cashmere-duffel-burgundy-149-2/600/600|https://picsum.photos/seed/cashmere-duffel-burgundy-149-3/600/600|https://picsum.photos/seed/cashmere-duffel-burgundy-149-4/600/600
Cotton Kaftan Navy,GRS-0150,105,145,30,Apparel & clothing,Anatolia Co.,Cotton kaftan in navy,Handcrafted cotton kaftan finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cotton-kaftan-navy-150-1/600/600|https://picsum.photos/seed/cotton-kaftan-navy-150-2/600/600|https://picsum.photos/seed/cotton-kaftan-navy-150-3/600/600
Wool Curtain Burgundy,GRS-0151,118,,47,Textiles & home,House label,Wool curtain in burgundy,Handcrafted wool curtain finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/wool-curtain-burgundy-151-1/600/600|https://picsum.photos/seed/wool-curtain-burgundy-151-2/600/600|https://picsum.photos/seed/wool-curtain-burgundy-151-3/600/600|https://picsum.photos/seed/wool-curtain-burgundy-151-4/600/600
Denim Scarf Navy,GRS-0152,131,,64,Accessories,Aysel Tekstil,Denim scarf in navy,Handcrafted denim scarf finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/denim-scarf-navy-152-1/600/600|https://picsum.photos/seed/denim-scarf-navy-152-2/600/600|https://picsum.photos/seed/denim-scarf-navy-152-3/600/600
Canvas Sneakers Burgundy,GRS-0153,144,159,81,Footwear,Bursa Atelier,Canvas sneakers in burgundy,Handcrafted canvas sneakers finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/canvas-sneakers-burgundy-153-1/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-153-2/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-153-3/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-153-4/600/600
Silk Crossbody Bag Navy,GRS-0154,157,,98,Bags & leather goods,Anatolia Co.,Silk crossbody bag in navy,Handcrafted silk crossbody bag finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/silk-crossbody-bag-navy-154-1/600/600|https://picsum.photos/seed/silk-crossbody-bag-navy-154-2/600/600|https://picsum.photos/seed/silk-crossbody-bag-navy-154-3/600/600
Suede Shirt Burgundy,GRS-0155,170,,115,Apparel & clothing,House label,Suede shirt in burgundy,Handcrafted suede shirt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/suede-shirt-burgundy-155-1/600/600|https://picsum.photos/seed/suede-shirt-burgundy-155-2/600/600|https://picsum.photos/seed/suede-shirt-burgundy-155-3/600/600|https://picsum.photos/seed/suede-shirt-burgundy-155-4/600/600
Velvet Blanket Navy,GRS-0156,183,213,12,Textiles & home,Aysel Tekstil,Velvet blanket in navy,Handcrafted velvet blanket finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/velvet-blanket-navy-156-1/600/600|https://picsum.photos/seed/velvet-blanket-navy-156-2/600/600|https://picsum.photos/seed/velvet-blanket-navy-156-3/600/600
Linen Hat Burgundy,GRS-0157,196,,29,Accessories,Bursa Atelier,Linen hat in burgundy,Handcrafted linen hat finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/linen-hat-burgundy-157-1/600/600|https://picsum.photos/seed/linen-hat-burgundy-157-2/600/600|https://picsum.photos/seed/linen-hat-burgundy-157-3/600/600|https://picsum.photos/seed/linen-hat-burgundy-157-4/600/600
Leather Boots Navy,GRS-0158,23,,46,Footwear,Anatolia Co.,Leather boots in navy,Handcrafted leather boots finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/leather-boots-navy-158-1/600/600|https://picsum.photos/seed/leather-boots-navy-158-2/600/600|https://picsum.photos/seed/leather-boots-navy-158-3/600/600
Cashmere Clutch Burgundy,GRS-0159,36,81,63,Bags & leather goods,House label,Cashmere clutch in burgundy,Handcrafted cashmere clutch finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cashmere-clutch-burgundy-159-1/600/600|https://picsum.photos/seed/cashmere-clutch-burgundy-159-2/600/600|https://picsum.photos/seed/cashmere-clutch-burgundy-159-3/600/600|https://picsum.photos/seed/cashmere-clutch-burgundy-159-4/600/600
Cotton Kaftan Navy,GRS-0160,49,,80,Apparel & clothing,Aysel Tekstil,Cotton kaftan in navy,Handcrafted cotton kaftan finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cotton-kaftan-navy-160-1/600/600|https://picsum.photos/seed/cotton-kaftan-navy-160-2/600/600|https://picsum.photos/seed/cotton-kaftan-navy-160-3/600/600
Wool Throw Burgundy,GRS-0161,62,,97,Textiles & home,Bursa Atelier,Wool throw in burgundy,Handcrafted wool throw finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/wool-throw-burgundy-161-1/600/600|https://picsum.photos/seed/wool-throw-burgundy-161-2/600/600|https://picsum.photos/seed/wool-throw-burgundy-161-3/600/600|https://picsum.photos/seed/wool-throw-burgundy-161-4/600/600
Denim Bracelet Navy,GRS-0162,75,95,114,Accessories,Anatolia Co.,Denim bracelet in navy,Handcrafted denim bracelet finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/denim-bracelet-navy-162-1/600/600|https://picsum.photos/seed/denim-bracelet-navy-162-2/600/600|https://picsum.photos/seed/denim-bracelet-navy-162-3/600/600
Canvas Loafers Burgundy,GRS-0163,88,,11,Footwear,House label,Canvas loafers in burgundy,Handcrafted canvas loafers finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/canvas-loafers-burgundy-163-1/600/600|https://picsum.photos/seed/canvas-loafers-burgundy-163-2/600/600|https://picsum.photos/seed/canvas-loafers-burgundy-163-3/600/600|https://picsum.photos/seed/canvas-loafers-burgundy-163-4/600/600
Silk Wallet Navy,GRS-0164,101,,28,Bags & leather goods,Aysel Tekstil,Silk wallet in navy,Handcrafted silk wallet finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/silk-wallet-navy-164-1/600/600|https://picsum.photos/seed/silk-wallet-navy-164-2/600/600|https://picsum.photos/seed/silk-wallet-navy-164-3/600/600
Suede Shirt Burgundy,GRS-0165,114,149,45,Apparel & clothing,Bursa Atelier,Suede shirt in burgundy,Handcrafted suede shirt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/suede-shirt-burgundy-165-1/600/600|https://picsum.photos/seed/suede-shirt-burgundy-165-2/600/600|https://picsum.photos/seed/suede-shirt-burgundy-165-3/600/600|https://picsum.photos/seed/suede-shirt-burgundy-165-4/600/600
Velvet Towel Navy,GRS-0166,127,,62,Textiles & home,Anatolia Co.,Velvet towel in navy,Handcrafted velvet towel finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/velvet-towel-navy-166-1/600/600|https://picsum.photos/seed/velvet-towel-navy-166-2/600/600|https://picsum.photos/seed/velvet-towel-navy-166-3/600/600
Linen Sunglasses Burgundy,GRS-0167,140,,79,Accessories,House label,Linen sunglasses in burgundy,Handcrafted linen sunglasses finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/linen-sunglasses-burgundy-167-1/600/600|https://picsum.photos/seed/linen-sunglasses-burgundy-167-2/600/600|https://picsum.photos/seed/linen-sunglasses-burgundy-167-3/600/600|https://picsum.photos/seed/linen-sunglasses-burgundy-167-4/600/600
Leather Sandals Navy,GRS-0168,153,163,96,Footwear,Aysel Tekstil,Leather sandals in navy,Handcrafted leather sandals finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/leather-sandals-navy-168-1/600/600|https://picsum.photos/seed/leather-sandals-navy-168-2/600/600|https://picsum.photos/seed/leather-sandals-navy-168-3/600/600
Cashmere Backpack Burgundy,GRS-0169,166,,113,Bags & leather goods,Bursa Atelier,Cashmere backpack in burgundy,Handcrafted cashmere backpack finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cashmere-backpack-burgundy-169-1/600/600|https://picsum.photos/seed/cashmere-backpack-burgundy-169-2/600/600|https://picsum.photos/seed/cashmere-backpack-burgundy-169-3/600/600|https://picsum.photos/seed/cashmere-backpack-burgundy-169-4/600/600
Cotton Kaftan Navy,GRS-0170,179,,10,Apparel & clothing,Anatolia Co.,Cotton kaftan in navy,Handcrafted cotton kaftan finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cotton-kaftan-navy-170-1/600/600|https://picsum.photos/seed/cotton-kaftan-navy-170-2/600/600|https://picsum.photos/seed/cotton-kaftan-navy-170-3/600/600
Wool Table Runner Burgundy,GRS-0171,192,217,27,Textiles & home,House label,Wool table runner in burgundy,Handcrafted wool table runner finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/wool-table-runner-burgundy-171-1/600/600|https://picsum.photos/seed/wool-table-runner-burgundy-171-2/600/600|https://picsum.photos/seed/wool-table-runner-burgundy-171-3/600/600|https://picsum.photos/seed/wool-table-runner-burgundy-171-4/600/600
Denim Belt Navy,GRS-0172,19,,44,Accessories,Aysel Tekstil,Denim belt in navy,Handcrafted denim belt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/denim-belt-navy-172-1/600/600|https://picsum.photos/seed/denim-belt-navy-172-2/600/600|https://picsum.photos/seed/denim-belt-navy-172-3/600/600
Canvas Heels Burgundy,GRS-0173,32,,61,Footwear,Bursa Atelier,Canvas heels in burgundy,Handcrafted canvas heels finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/canvas-heels-burgundy-173-1/600/600|https://picsum.photos/seed/canvas-heels-burgundy-173-2/600/600|https://picsum.photos/seed/canvas-heels-burgundy-173-3/600/600|https://picsum.photos/seed/canvas-heels-burgundy-173-4/600/600
Silk Tote Navy,GRS-0174,45,85,78,Bags & leather goods,Anatolia Co.,Silk tote in navy,Handcrafted silk tote finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/silk-tote-navy-174-1/600/600|https://picsum.photos/seed/silk-tote-navy-174-2/600/600|https://picsum.photos/seed/silk-tote-navy-174-3/600/600
Suede Shirt Burgundy,GRS-0175,58,,95,Apparel & clothing,House label,Suede shirt in burgundy,Handcrafted suede shirt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/suede-shirt-burgundy-175-1/600/600|https://picsum.photos/seed/suede-shirt-burgundy-175-2/600/600|https://picsum.photos/seed/suede-shirt-burgundy-175-3/600/600|https://picsum.photos/seed/suede-shirt-burgundy-175-4/600/600
Velvet Wrap Navy,GRS-0176,71,,112,Textiles & home,Aysel Tekstil,Velvet wrap in navy,Handcrafted velvet wrap finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/velvet-wrap-navy-176-1/600/600|https://picsum.photos/seed/velvet-wrap-navy-176-2/600/600|https://picsum.photos/seed/velvet-wrap-navy-176-3/600/600
Linen Necklace Burgundy,GRS-0177,84,99,9,Accessories,Bursa Atelier,Linen necklace in burgundy,Handcrafted linen necklace finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/linen-necklace-burgundy-177-1/600/600|https://picsum.photos/seed/linen-necklace-burgundy-177-2/600/600|https://picsum.photos/seed/linen-necklace-burgundy-177-3/600/600|https://picsum.photos/seed/linen-necklace-burgundy-177-4/600/600
Leather Slippers Navy,GRS-0178,97,,26,Footwear,Anatolia Co.,Leather slippers in navy,Handcrafted leather slippers finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/leather-slippers-navy-178-1/600/600|https://picsum.photos/seed/leather-slippers-navy-178-2/600/600|https://picsum.photos/seed/leather-slippers-navy-178-3/600/600
Cashmere Duffel Burgundy,GRS-0179,110,,43,Bags & leather goods,House label,Cashmere duffel in burgundy,Handcrafted cashmere duffel finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cashmere-duffel-burgundy-179-1/600/600|https://picsum.photos/seed/cashmere-duffel-burgundy-179-2/600/600|https://picsum.photos/seed/cashmere-duffel-burgundy-179-3/600/600|https://picsum.photos/seed/cashmere-duffel-burgundy-179-4/600/600
Cotton Kaftan Navy,GRS-0180,123,153,60,Apparel & clothing,Aysel Tekstil,Cotton kaftan in navy,Handcrafted cotton kaftan finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cotton-kaftan-navy-180-1/600/600|https://picsum.photos/seed/cotton-kaftan-navy-180-2/600/600|https://picsum.photos/seed/cotton-kaftan-navy-180-3/600/600
Wool Bedsheet Burgundy,GRS-0181,136,,77,Textiles & home,Bursa Atelier,Wool bedsheet in burgundy,Handcrafted wool bedsheet finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/wool-bedsheet-burgundy-181-1/600/600|https://picsum.photos/seed/wool-bedsheet-burgundy-181-2/600/600|https://picsum.photos/seed/wool-bedsheet-burgundy-181-3/600/600|https://picsum.photos/seed/wool-bedsheet-burgundy-181-4/600/600
Denim Gloves Navy,GRS-0182,149,,94,Accessories,Anatolia Co.,Denim gloves in navy,Handcrafted denim gloves finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/denim-gloves-navy-182-1/600/600|https://picsum.photos/seed/denim-gloves-navy-182-2/600/600|https://picsum.photos/seed/denim-gloves-navy-182-3/600/600
Canvas Sneakers Burgundy,GRS-0183,162,207,111,Footwear,House label,Canvas sneakers in burgundy,Handcrafted canvas sneakers finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/canvas-sneakers-burgundy-183-1/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-183-2/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-183-3/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-183-4/600/600
Silk Crossbody Bag Navy,GRS-0184,175,,8,Bags & leather goods,Aysel Tekstil,Silk crossbody bag in navy,Handcrafted silk crossbody bag finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/silk-crossbody-bag-navy-184-1/600/600|https://picsum.photos/seed/silk-crossbody-bag-navy-184-2/600/600|https://picsum.photos/seed/silk-crossbody-bag-navy-184-3/600/600
Suede Shirt Burgundy,GRS-0185,188,,25,Apparel & clothing,Bursa Atelier,Suede shirt in burgundy,Handcrafted suede shirt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/suede-shirt-burgundy-185-1/600/600|https://picsum.photos/seed/suede-shirt-burgundy-185-2/600/600|https://picsum.photos/seed/suede-shirt-burgundy-185-3/600/600|https://picsum.photos/seed/suede-shirt-burgundy-185-4/600/600
Velvet Cushion Cover Navy,GRS-0186,15,35,42,Textiles & home,Anatolia Co.,Velvet cushion cover in navy,Handcrafted velvet cushion cover finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/velvet-cushion-cover-navy-186-1/600/600|https://picsum.photos/seed/velvet-cushion-cover-navy-186-2/600/600|https://picsum.photos/seed/velvet-cushion-cover-navy-186-3/600/600
Linen Earrings Burgundy,GRS-0187,28,,59,Accessories,House label,Linen earrings in burgundy,Handcrafted linen earrings finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/linen-earrings-burgundy-187-1/600/600|https://picsum.photos/seed/linen-earrings-burgundy-187-2/600/600|https://picsum.photos/seed/linen-earrings-burgundy-187-3/600/600|https://picsum.photos/seed/linen-earrings-burgundy-187-4/600/600
Leather Boots Navy,GRS-0188,41,,76,Footwear,Aysel Tekstil,Leather boots in navy,Handcrafted leather boots finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/leather-boots-navy-188-1/600/600|https://picsum.photos/seed/leather-boots-navy-188-2/600/600|https://picsum.photos/seed/leather-boots-navy-188-3/600/600
Cashmere Clutch Burgundy,GRS-0189,54,89,93,Bags & leather goods,Bursa Atelier,Cashmere clutch in burgundy,Handcrafted cashmere clutch finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cashmere-clutch-burgundy-189-1/600/600|https://picsum.photos/seed/cashmere-clutch-burgundy-189-2/600/600|https://picsum.photos/seed/cashmere-clutch-burgundy-189-3/600/600|https://picsum.photos/seed/cashmere-clutch-burgundy-189-4/600/600
Cotton Kaftan Navy,GRS-0190,67,,110,Apparel & clothing,Anatolia Co.,Cotton kaftan in navy,Handcrafted cotton kaftan finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cotton-kaftan-navy-190-1/600/600|https://picsum.photos/seed/cotton-kaftan-navy-190-2/600/600|https://picsum.photos/seed/cotton-kaftan-navy-190-3/600/600
Wool Curtain Burgundy,GRS-0191,80,,7,Textiles & home,House label,Wool curtain in burgundy,Handcrafted wool curtain finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/wool-curtain-burgundy-191-1/600/600|https://picsum.photos/seed/wool-curtain-burgundy-191-2/600/600|https://picsum.photos/seed/wool-curtain-burgundy-191-3/600/600|https://picsum.photos/seed/wool-curtain-burgundy-191-4/600/600
Denim Scarf Navy,GRS-0192,93,103,24,Accessories,Aysel Tekstil,Denim scarf in navy,Handcrafted denim scarf finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/denim-scarf-navy-192-1/600/600|https://picsum.photos/seed/denim-scarf-navy-192-2/600/600|https://picsum.photos/seed/denim-scarf-navy-192-3/600/600
Canvas Loafers Burgundy,GRS-0193,106,,41,Footwear,Bursa Atelier,Canvas loafers in burgundy,Handcrafted canvas loafers finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/canvas-loafers-burgundy-193-1/600/600|https://picsum.photos/seed/canvas-loafers-burgundy-193-2/600/600|https://picsum.photos/seed/canvas-loafers-burgundy-193-3/600/600|https://picsum.photos/seed/canvas-loafers-burgundy-193-4/600/600
Silk Wallet Navy,GRS-0194,119,,58,Bags & leather goods,Anatolia Co.,Silk wallet in navy,Handcrafted silk wallet finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/silk-wallet-navy-194-1/600/600|https://picsum.photos/seed/silk-wallet-navy-194-2/600/600|https://picsum.photos/seed/silk-wallet-navy-194-3/600/600
Suede Shirt Burgundy,GRS-0195,132,157,75,Apparel & clothing,House label,Suede shirt in burgundy,Handcrafted suede shirt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/suede-shirt-burgundy-195-1/600/600|https://picsum.photos/seed/suede-shirt-burgundy-195-2/600/600|https://picsum.photos/seed/suede-shirt-burgundy-195-3/600/600|https://picsum.photos/seed/suede-shirt-burgundy-195-4/600/600
Velvet Blanket Navy,GRS-0196,145,,92,Textiles & home,Aysel Tekstil,Velvet blanket in navy,Handcrafted velvet blanket finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/velvet-blanket-navy-196-1/600/600|https://picsum.photos/seed/velvet-blanket-navy-196-2/600/600|https://picsum.photos/seed/velvet-blanket-navy-196-3/600/600
Linen Hat Burgundy,GRS-0197,158,,109,Accessories,Bursa Atelier,Linen hat in burgundy,Handcrafted linen hat finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/linen-hat-burgundy-197-1/600/600|https://picsum.photos/seed/linen-hat-burgundy-197-2/600/600|https://picsum.photos/seed/linen-hat-burgundy-197-3/600/600|https://picsum.photos/seed/linen-hat-burgundy-197-4/600/600
Leather Sandals Navy,GRS-0198,171,211,6,Footwear,Anatolia Co.,Leather sandals in navy,Handcrafted leather sandals finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/leather-sandals-navy-198-1/600/600|https://picsum.photos/seed/leather-sandals-navy-198-2/600/600|https://picsum.photos/seed/leather-sandals-navy-198-3/600/600
Cashmere Backpack Burgundy,GRS-0199,184,,23,Bags & leather goods,House label,Cashmere backpack in burgundy,Handcrafted cashmere backpack finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cashmere-backpack-burgundy-199-1/600/600|https://picsum.photos/seed/cashmere-backpack-burgundy-199-2/600/600|https://picsum.photos/seed/cashmere-backpack-burgundy-199-3/600/600|https://picsum.photos/seed/cashmere-backpack-burgundy-199-4/600/600
Cotton Kaftan Navy,GRS-0200,197,,40,Apparel & clothing,Aysel Tekstil,Cotton kaftan in navy,Handcrafted cotton kaftan finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cotton-kaftan-navy-200-1/600/600|https://picsum.photos/seed/cotton-kaftan-navy-200-2/600/600|https://picsum.photos/seed/cotton-kaftan-navy-200-3/600/600
Wool Throw Burgundy,GRS-0201,24,39,57,Textiles & home,Bursa Atelier,Wool throw in burgundy,Handcrafted wool throw finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/wool-throw-burgundy-201-1/600/600|https://picsum.photos/seed/wool-throw-burgundy-201-2/600/600|https://picsum.photos/seed/wool-throw-burgundy-201-3/600/600|https://picsum.photos/seed/wool-throw-burgundy-201-4/600/600
Denim Bracelet Navy,GRS-0202,37,,74,Accessories,Anatolia Co.,Denim bracelet in navy,Handcrafted denim bracelet finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/denim-bracelet-navy-202-1/600/600|https://picsum.photos/seed/denim-bracelet-navy-202-2/600/600|https://picsum.photos/seed/denim-bracelet-navy-202-3/600/600
Canvas Heels Burgundy,GRS-0203,50,,91,Footwear,House label,Canvas heels in burgundy,Handcrafted canvas heels finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/canvas-heels-burgundy-203-1/600/600|https://picsum.photos/seed/canvas-heels-burgundy-203-2/600/600|https://picsum.photos/seed/canvas-heels-burgundy-203-3/600/600|https://picsum.photos/seed/canvas-heels-burgundy-203-4/600/600
Silk Tote Navy,GRS-0204,63,93,108,Bags & leather goods,Aysel Tekstil,Silk tote in navy,Handcrafted silk tote finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/silk-tote-navy-204-1/600/600|https://picsum.photos/seed/silk-tote-navy-204-2/600/600|https://picsum.photos/seed/silk-tote-navy-204-3/600/600
Suede Shirt Burgundy,GRS-0205,76,,5,Apparel & clothing,Bursa Atelier,Suede shirt in burgundy,Handcrafted suede shirt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/suede-shirt-burgundy-205-1/600/600|https://picsum.photos/seed/suede-shirt-burgundy-205-2/600/600|https://picsum.photos/seed/suede-shirt-burgundy-205-3/600/600|https://picsum.photos/seed/suede-shirt-burgundy-205-4/600/600
Velvet Towel Navy,GRS-0206,89,,22,Textiles & home,Anatolia Co.,Velvet towel in navy,Handcrafted velvet towel finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/velvet-towel-navy-206-1/600/600|https://picsum.photos/seed/velvet-towel-navy-206-2/600/600|https://picsum.photos/seed/velvet-towel-navy-206-3/600/600
Linen Sunglasses Burgundy,GRS-0207,102,147,39,Accessories,House label,Linen sunglasses in burgundy,Handcrafted linen sunglasses finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/linen-sunglasses-burgundy-207-1/600/600|https://picsum.photos/seed/linen-sunglasses-burgundy-207-2/600/600|https://picsum.photos/seed/linen-sunglasses-burgundy-207-3/600/600|https://picsum.photos/seed/linen-sunglasses-burgundy-207-4/600/600
Leather Slippers Navy,GRS-0208,115,,56,Footwear,Aysel Tekstil,Leather slippers in navy,Handcrafted leather slippers finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/leather-slippers-navy-208-1/600/600|https://picsum.photos/seed/leather-slippers-navy-208-2/600/600|https://picsum.photos/seed/leather-slippers-navy-208-3/600/600
Cashmere Duffel Burgundy,GRS-0209,128,,73,Bags & leather goods,Bursa Atelier,Cashmere duffel in burgundy,Handcrafted cashmere duffel finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cashmere-duffel-burgundy-209-1/600/600|https://picsum.photos/seed/cashmere-duffel-burgundy-209-2/600/600|https://picsum.photos/seed/cashmere-duffel-burgundy-209-3/600/600|https://picsum.photos/seed/cashmere-duffel-burgundy-209-4/600/600
Cotton Kaftan Navy,GRS-0210,141,161,90,Apparel & clothing,Anatolia Co.,Cotton kaftan in navy,Handcrafted cotton kaftan finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cotton-kaftan-navy-210-1/600/600|https://picsum.photos/seed/cotton-kaftan-navy-210-2/600/600|https://picsum.photos/seed/cotton-kaftan-navy-210-3/600/600
Wool Table Runner Burgundy,GRS-0211,154,,107,Textiles & home,House label,Wool table runner in burgundy,Handcrafted wool table runner finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/wool-table-runner-burgundy-211-1/600/600|https://picsum.photos/seed/wool-table-runner-burgundy-211-2/600/600|https://picsum.photos/seed/wool-table-runner-burgundy-211-3/600/600|https://picsum.photos/seed/wool-table-runner-burgundy-211-4/600/600
Denim Belt Navy,GRS-0212,167,,4,Accessories,Aysel Tekstil,Denim belt in navy,Handcrafted denim belt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/denim-belt-navy-212-1/600/600|https://picsum.photos/seed/denim-belt-navy-212-2/600/600|https://picsum.photos/seed/denim-belt-navy-212-3/600/600
Canvas Sneakers Burgundy,GRS-0213,180,215,21,Footwear,Bursa Atelier,Canvas sneakers in burgundy,Handcrafted canvas sneakers finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/canvas-sneakers-burgundy-213-1/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-213-2/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-213-3/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-213-4/600/600
Silk Crossbody Bag Navy,GRS-0214,193,,38,Bags & leather goods,Anatolia Co.,Silk crossbody bag in navy,Handcrafted silk crossbody bag finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/silk-crossbody-bag-navy-214-1/600/600|https://picsum.photos/seed/silk-crossbody-bag-navy-214-2/600/600|https://picsum.photos/seed/silk-crossbody-bag-navy-214-3/600/600
Suede Shirt Burgundy,GRS-0215,20,,55,Apparel & clothing,House label,Suede shirt in burgundy,Handcrafted suede shirt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/suede-shirt-burgundy-215-1/600/600|https://picsum.photos/seed/suede-shirt-burgundy-215-2/600/600|https://picsum.photos/seed/suede-shirt-burgundy-215-3/600/600|https://picsum.photos/seed/suede-shirt-burgundy-215-4/600/600
